iter	Accuracy	MultiClass
368	0.7901725589	0.5223270546
369	0.7902356902	0.52224966
370	0.7901304714	0.522202856
371	0.7902777778	0.5221204436
372	0.7902356902	0.5220971318
373	0.7904461279	0.5219533175
374	0.7904040404	0.5218674628
375	0.7904461279	0.5218172034
376	0.7904882155	0.5217631373
377	0.7904671717	0.5216687323
378	0.7904461279	0.5216180908
379	0.790530303	0.5214421547
380	0.790530303	0.5213724028
381	0.7905723906	0.5212881275
382	0.7906144781	0.5212284484
383	0.7907617845	0.521160162
384	0.7908249158	0.5210613893
385	0.7909090909	0.5209441069
386	0.7908880471	0.5208452571
387	0.7908880471	0.5207898655
388	0.7908880471	0.5207387117
389	0.7908880471	0.5206033548
390	0.7909301347	0.5205033574
391	0.7910143098	0.5203942619
392	0.7910774411	0.5202555886
393	0.790993266	0.5201493164
394	0.790993266	0.5199737741
395	0.7910353535	0.5199110332
396	0.7910984848	0.519866368
397	0.7910563973	0.5198213491
398	0.7912037037	0.5197126416
399	0.7912457912	0.5196028223
400	0.7913089226	0.5195056256
401	0.7912878788	0.5194680862
402	0.7913299663	0.5193740627
403	0.7914351852	0.5192594245
404	0.7913930976	0.5192136998
405	0.7914141414	0.5191098509
406	0.7916666667	0.5190250601
407	0.7916456229	0.5189971091
408	0.7915614478	0.5189579466
409	0.7915614478	0.5188510378
410	0.7916245791	0.5187665102
411	0.7916456229	0.5187440725
412	0.7917508418	0.5186051936
413	0.7918139731	0.5185807858
414	0.7919402357	0.5184730756
415	0.7917929293	0.5183429434
416	0.7918560606	0.5182134863
417	0.7917508418	0.5181463832
418	0.7916456229	0.5180322066
419	0.7916245791	0.517958488
420	0.7917718855	0.517883783
421	0.7918560606	0.5178108972
422	0.7917508418	0.517690316
423	0.7917087542	0.5175678029
424	0.7917087542	0.5174378571
425	0.7917929293	0.517361367
426	0.7918771044	0.5172357392
427	0.7920244108	0.5170857158
428	0.792003367	0.5170394975
429	0.7919402357	0.5169952976
430	0.7920875421	0.5169460181
431	0.7921927609	0.5169092624
432	0.7923400673	0.5167931962
433	0.7925505051	0.5166852814
434	0.7926346801	0.5166141205
435	0.7925925926	0.5165505644
436	0.7926767677	0.5164719221
437	0.7926346801	0.5164033853
438	0.7926557239	0.5163190064
439	0.7925505051	0.5162749209
440	0.7925294613	0.5162314619
441	0.7925715488	0.5161759511
442	0.7927188552	0.5160811333
443	0.7925715488	0.5160272603
444	0.7926767677	0.5159320953
445	0.7926136364	0.515889029
446	0.7926346801	0.5158035223
447	0.7926978114	0.5157008098
448	0.7925925926	0.5156233083
449	0.7928030303	0.5155362881
450	0.7928030303	0.5154570956
451	0.7928451178	0.5153726339
452	0.792739899	0.5152509083
453	0.7929082492	0.5151986911
454	0.7928872054	0.5151389434
455	0.7929082492	0.5149925888
456	0.7928451178	0.5149065038
457	0.7929292929	0.5148351287
458	0.7929924242	0.5147821516
459	0.7929292929	0.5146320367
460	0.793013468	0.5145989936
461	0.7930345118	0.5145012737
462	0.7930555556	0.5144748936
463	0.7931397306	0.5144427014
464	0.7930555556	0.5143529195
465	0.7929292929	0.5142508766
466	0.7931186869	0.5141486185
467	0.7931818182	0.5140871898
468	0.7931607744	0.5140149502
469	0.7930976431	0.5139350844
470	0.7931186869	0.5138742286
471	0.7930976431	0.5137835879
472	0.7930765993	0.5136782094
473	0.7931186869	0.5136033586
474	0.793202862	0.5135421624
475	0.7932239057	0.5134573199
476	0.7932239057	0.5133583942
477	0.793287037	0.5132560527
478	0.7934132997	0.5132001964
479	0.7933080808	0.5131043129
480	0.7932659933	0.5130198337
481	0.7933080808	0.5129095855
482	0.7932449495	0.5128331787
483	0.7932239057	0.5128116977
484	0.793287037	0.512726333
485	0.7933080808	0.5126416923
486	0.7934343434	0.512545907
487	0.7935606061	0.5125117858
488	0.7935185185	0.5124486894
489	0.7935606061	0.5123867345
490	0.7936868687	0.5122810908
491	0.7937079125	0.5121751275
492	0.7936868687	0.5120552113
493	0.7937710438	0.511968101
494	0.7936026936	0.5118748693
495	0.7936447811	0.5117952357
496	0.7936447811	0.5117685611
497	0.7936447811	0.5116641299
498	0.7936658249	0.5116125959
499	0.7935606061	0.5115632831
500	0.7937710438	0.5114630654
501	0.7937710438	0.5114199226
502	0.7937710438	0.5113914661
503	0.7938341751	0.5113782303
504	0.7938973064	0.5113317217
505	0.7938341751	0.5113034059
506	0.7937289562	0.5112014259
507	0.7937710438	0.5111352354
508	0.7938552189	0.511082456
509	0.7938973064	0.5110297609
510	0.7937289562	0.5109868494
511	0.7938973064	0.5109477901
512	0.7939604377	0.5108474409
513	0.7939604377	0.5107892819
514	0.7940656566	0.5107301907
515	0.7940446128	0.5106907769
516	0.7942550505	0.5105911137
517	0.794212963	0.51051918
518	0.794212963	0.5104475468
519	0.7941498316	0.5104065066
520	0.7941708754	0.5103805834
521	0.7941919192	0.5102908461
522	0.794297138	0.510232407
523	0.7945075758	0.5101122746
524	0.7944654882	0.5100805638
525	0.7944023569	0.5100109292
526	0.7944023569	0.5099998551
527	0.7945075758	0.5099190926
528	0.7944654882	0.5098384665
529	0.7945496633	0.5097758646
530	0.7944234007	0.5096630848
531	0.7944023569	0.5096344911
532	0.794486532	0.5096125269
533	0.794760101	0.5095522605
534	0.7947390572	0.509470991
535	0.7948442761	0.5094248673
536	0.7948863636	0.5093304563
537	0.7948863636	0.5092695339
538	0.7948021886	0.509177157
539	0.7949284512	0.5090966793
540	0.7948021886	0.5090554767
541	0.7948863636	0.5089765075
542	0.7948442761	0.5089292098
543	0.7949284512	0.5088600334
544	0.7949494949	0.5088315885
545	0.7949494949	0.5087753984
546	0.7949494949	0.5087474348
547	0.7949915825	0.5086947062
548	0.7950126263	0.5086725133
549	0.79503367	0.5086194837
550	0.7951388889	0.5085756187
551	0.795223064	0.5085173123
552	0.7951809764	0.5084895918
553	0.7951809764	0.5084448763
554	0.7951178451	0.5084110926
555	0.7950547138	0.5083601421
556	0.7951599327	0.5082529568
557	0.7950757576	0.5082349772
558	0.7951388889	0.5082131833
559	0.7952441077	0.5081607914
560	0.7953493266	0.508074104
561	0.7952441077	0.5080354422
562	0.7954755892	0.5078730324
563	0.7954335017	0.5078161119
564	0.7955808081	0.5077654594
565	0.795496633	0.5077144499
566	0.7953493266	0.5076171461
567	0.7954124579	0.5075610464
568	0.7955176768	0.507464816
