iter	Passed	Remaining
604	134462	310041
605	134806	310099
606	135082	309998
607	135706	310695
608	136451	311665
609	137170	312568
610	137641	312903
611	137920	312800
612	138235	312778
613	138486	312609
614	138723	312409
615	138976	312246
616	139232	312088
617	139474	311898
618	139708	311691
619	139937	311474
620	140186	311300
621	140463	311187
622	140715	311019
623	140953	310819
624	141160	310552
625	141407	310373
626	141677	310244
627	141927	310070
628	142153	309845
629	142386	309634
630	142627	309440
631	142852	309213
632	143077	308983
633	143290	308729
634	143518	308508
635	143742	308278
636	143959	308032
637	144163	307760
638	144371	307495
639	144586	307245
640	144813	307022
641	145012	306739
642	145279	306599
643	145531	306430
644	145779	306250
645	146000	306012
646	146247	305830
647	146470	305598
648	146712	305405
649	146927	305158
650	147152	304928
651	147387	304721
652	147630	304531
653	147868	304328
654	148100	304114
655	148380	303999
656	148634	303830
657	148873	303628
658	149142	303489
659	149437	303403
660	149734	303319
661	149973	303119
662	150244	302982
663	150584	302983
664	150913	302962
665	151355	303165
666	151810	303394
667	152359	303806
668	152810	304022
669	153169	304053
670	153546	304118
671	153826	303990
672	154093	303836
673	154361	303684
674	154620	303513
675	154866	303318
676	155151	303199
677	155402	303012
678	155692	302901
679	155943	302714
680	156201	302540
681	156418	302287
682	156662	302086
683	156914	301900
684	157181	301742
685	157412	301516
686	157664	301329
687	157939	301186
688	158203	301023
689	158552	301019
690	158887	300988
691	159174	300867
692	159498	300814
693	159827	300771
694	160079	300580
695	160400	300520
696	160729	300473
697	161092	300490
698	161455	300505
699	161775	300440
700	162121	300422
701	162571	300595
702	163438	301536
703	164127	302144
704	164607	302364
705	164966	302360
706	165203	302132
707	165498	302012
708	165771	301849
709	166043	301684
710	166299	301491
711	166554	301294
712	166816	301111
713	167110	300986
714	167473	300982
715	167776	300872
716	168019	300654
717	168284	300474
718	168595	300376
719	169803	301873
720	170741	302882
721	171067	302803
722	171343	302636
723	171604	302441
724	171906	302318
725	172179	302144
726	172437	301944
727	172756	301849
728	173009	301639
729	173207	301333
730	173419	301053
731	173637	300781
732	173876	300547
733	174097	300281
734	174322	300025
735	174558	299785
736	174802	299560
737	175046	299333
738	175242	299026
739	175450	298740
740	175677	298486
741	175892	298211
742	176107	297937
743	176361	297728
744	176577	297456
745	176810	297213
746	177012	296915
747	177207	296609
748	177417	296327
749	177627	296045
750	177850	295785
751	178039	295469
752	178266	295217
753	178439	294874
754	178700	294678
755	178921	294415
756	179172	294203
757	179404	293958
758	179638	293716
759	179838	293421
760	180056	293152
761	180331	292979
762	180538	292694
763	180783	292471
764	181032	292254
765	181221	291941
766	181427	291655
767	181635	291372
768	181836	291080
769	182013	290749
770	182212	290452
771	182414	290161
772	182605	289853
